What is your gender?,What is your age?,What is your race?,Are you hispanic?,What is your level of education?,What is your income?
Male,65,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above"
Female,57,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$15,000 - $24,999"
Male,59,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$75,000 - $99,999"
Female,37,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999"
Male,80,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)",Refused
Female,40,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)",Refused
Female,80,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$25,000 - $34,999"
Female,74,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$35,000 - $49,999"
Male,57,Two or more races,"Yes, Puerto Rican","Bachelor's degree (i.e., BA, BS, AB)","$150,000-$199,999"
Male,55,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999"
Female,74,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999"
Female,68,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",No high school,"Less than $14,999"
Female,999,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)",Refused
Female,80,Asian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$15,000 - $24,999"
Male,83,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$25,000 - $34,999"
Male,73,Other,"Yes, Puerto Rican","High school graduate or equivalent (i.e., GED)","$50,000 - $74,999"
Female,74,Other,"Yes, Puerto Rican",No high school,"Less than $14,999"
Male,45,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$200,000 and above"
Male,50,Other,"Yes, Puerto Rican","Bachelor's degree (i.e., BA, BS, AB)","$15,000 - $24,999"
Male,54,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$75,000 - $99,999"
Male,47,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above"
Male,54,Asian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999"
Female,54,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$75,000 - $99,999"
Male,73,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$150,000-$199,999"
Female,69,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)",Refused
Female,45,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)",Refused
Male,42,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999"
Female,52,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some high school,"$35,000 - $49,999"
Female,51,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some high school,"$15,000 - $24,999"
Female,86,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$35,000 - $49,999"
Female,64,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)",Refused
Female,56,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,Refused
Male,66,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$150,000-$199,999"
Male,18,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$50,000 - $74,999"
Female,83,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some high school,"Less than $14,999"
Female,44,Black/ African American/ Caribbean American,"Yes, Other",Some high school,"$50,000 - $74,999"
Male,37,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999"
Female,49,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$75,000 - $99,999"
Male,999,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)",Refused
Female,76,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some high school,"$35,000 - $49,999"
Male,64,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$50,000 - $74,999"
Female,74,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)",Refused
Female,79,White/Caucasian,"Yes, Mexican, Mexican American, Chicano","High school graduate or equivalent (i.e., GED)","$75,000 - $99,999"
Female,42,Other,"Yes, Puerto Rican","Graduate degree (i.e., Master's, Professional, Doctorate)","$25,000 - $34,999"
Female,61,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$35,000 - $49,999"
Female,70,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999"
Male,41,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$150,000-$199,999"
Female,40,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above"
Male,73,Other,"Yes, Puerto Rican",Some college but degree not received or in progress,"Less than $14,999"
Female,60,White/Caucasian,NA,"Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999"
Female,999,Native Hawaiian or Pacific Islander,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)",Refused
Female,35,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$100,000 - $149,999"
Male,18,White/Caucasian,"Yes, Cuban",Some college but degree not received or in progress,Refused
Male,999,Other,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)",Refused
Male,18,Other,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)",Refused
Male,40,Refused,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$25,000 - $34,999"
Female,85,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)",Refused
Female,47,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above"
Male,99,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,Refused
Female,71,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)",Refused
Female,18,Refused,Refused,"Associate degree (i.e., AA, AS)",Refused
Female,63,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$100,000 - $149,999"
Female,999,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,Refused
Female,30,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999"
Female,75,Black/ African American/ Caribbean American,"Yes, Other","Associate degree (i.e., AA, AS)","Less than $14,999"
Male,65,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$25,000 - $34,999"
Female,34,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","Less than $14,999"
Female,44,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$100,000 - $149,999"
Female,50,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$25,000 - $34,999"
Male,999,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)",Refused
Female,53,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)",Refused
Male,62,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999"
Female,36,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999"
Male,52,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$75,000 - $99,999"
Female,67,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","Less than $14,999"
Female,41,Other,"Yes, Other","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999"
Male,49,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999"
Male,45,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above"
Male,999,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$150,000-$199,999"
Female,70,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$25,000 - $34,999"
Female,48,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above"
Female,53,Refused,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,Refused
Male,53,Black/ African American/ Caribbean American,"Yes, Puerto Rican",Some college but degree not received or in progress,"$75,000 - $99,999"
Female,40,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)",Refused
Female,48,White/Caucasian,Refused,"Bachelor's degree (i.e., BA, BS, AB)",Refused
Female,31,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999"
Female,54,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$25,000 - $34,999"
Male,999,White/Caucasian,"Yes, Other","Associate degree (i.e., AA, AS)","$75,000 - $99,999"
Female,37,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$75,000 - $99,999"
Female,53,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$25,000 - $34,999"
Female,56,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)",Refused
Male,68,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above"
Male,43,Two or more races,"Yes, Puerto Rican",Some college but degree not received or in progress,"$35,000 - $49,999"
Female,53,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$15,000 - $24,999"
Female,24,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$15,000 - $24,999"
Female,29,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$50,000 - $74,999"
Female,53,Black/ African American/ Caribbean American,"Yes, Other",Some college but degree not received or in progress,"$15,000 - $24,999"
Female,50,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$75,000 - $99,999"
Female,53,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$35,000 - $49,999"
Male,52,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999"
Male,20,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,NA
Female,70,NA,NA,"Graduate degree (i.e., Master's, Professional, Doctorate)","$25,000 - $34,999"
Female,50,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$75,000 - $99,999"
Female,65,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)",NA
Male,60,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$75,000 - $99,999"
Female,53,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999"
Female,66,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)",Refused
Female,36,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$150,000-$199,999"
Female,48,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$75,000 - $99,999"
Male,92,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",NA,Refused
Male,70,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999"
Female,36,Black/ African American/ Caribbean American,"Yes, Cuban",No high school,NA
Female,78,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",No high school,"$75,000 - $99,999"
Female,58,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999"
Female,29,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999"
Female,50,Two or more races,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$150,000-$199,999"
Female,51,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999"
Female,65,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$35,000 - $49,999"
Female,52,White/Caucasian,"Yes, Mexican, Mexican American, Chicano",Some college but degree not received or in progress,"$35,000 - $49,999"
Female,76,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)",Refused
Female,70,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)",Refused
Female,55,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$35,000 - $49,999"
Male,52,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$75,000 - $99,999"
Male,26,Asian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$150,000-$199,999"
Male,68,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$50,000 - $74,999"
Female,55,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)",Refused
Male,79,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999"
Female,45,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999"
Male,51,Two or more races,"Yes, Puerto Rican","High school graduate or equivalent (i.e., GED)","$15,000 - $24,999"
Male,41,NA,"Yes, Puerto Rican","High school graduate or equivalent (i.e., GED)",Refused
Male,47,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$150,000-$199,999"
Female,52,Two or more races,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)",Refused
Female,53,Two or more races,"Yes, Puerto Rican",Some college but degree not received or in progress,"$75,000 - $99,999"
Female,48,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$200,000 and above"
Female,70,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$25,000 - $34,999"
Male,60,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)",NA
Male,54,White/Caucasian,"Yes, Puerto Rican",Some college but degree not received or in progress,"$50,000 - $74,999"
Male,57,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$75,000 - $99,999"
Female,43,Other,"Yes, Other","Bachelor's degree (i.e., BA, BS, AB)","$150,000-$199,999"
Female,50,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above"
Female,52,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999"
Female,65,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$25,000 - $34,999"
Female,47,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$50,000 - $74,999"
Female,68,White/Caucasian,"Yes, Puerto Rican",Some college but degree not received or in progress,"$50,000 - $74,999"
Female,40,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)",Refused
Male,52,Asian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","Less than $14,999"
Female,70,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$25,000 - $34,999"
Female,35,Black/ African American/ Caribbean American,"Yes, Puerto Rican","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999"
Female,80,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999"
Female,56,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$150,000-$199,999"
Female,47,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some high school,"Less than $14,999"
Female,54,NA,"Yes, Puerto Rican","Bachelor's degree (i.e., BA, BS, AB)","Less than $14,999"
Male,61,Other,"Yes, Puerto Rican",Some college but degree not received or in progress,"$50,000 - $74,999"
Female,71,Other,"Yes, Puerto Rican","Associate degree (i.e., AA, AS)","$100,000 - $149,999"
Female,60,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$35,000 - $49,999"
Female,34,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","Less than $14,999"
Female,54,Two or more races,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)",Refused
Male,53,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$50,000 - $74,999"
Female,60,Other,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$35,000 - $49,999"
Male,60,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)",Refused
Male,52,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999"
Female,42,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)",Refused
Female,49,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$100,000 - $149,999"
Female,27,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)",NA
Male,52,White/Caucasian,"Yes, Other","Bachelor's degree (i.e., BA, BS, AB)","$15,000 - $24,999"
Female,65,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$15,000 - $24,999"
Female,52,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999"
Female,47,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some high school,"$35,000 - $49,999"
Female,81,Two or more races,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$15,000 - $24,999"
Female,55,Other,"Yes, Puerto Rican","Bachelor's degree (i.e., BA, BS, AB)",Refused
Female,56,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$75,000 - $99,999"
Female,47,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)",Refused
Female,82,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","Less than $14,999"
Female,51,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","Less than $14,999"
Male,50,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above"
Male,70,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999"
Male,57,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$75,000 - $99,999"
Female,59,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999"
Female,59,Refused,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$100,000 - $149,999"
Female,67,Refused,Refused,"Associate degree (i.e., AA, AS)",Refused
Female,32,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$25,000 - $34,999"
Female,44,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,Refused
Male,58,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","Less than $14,999"
Female,83,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$15,000 - $24,999"
Male,62,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999"
Female,30,Asian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$15,000 - $24,999"
Male,50,Two or more races,"Yes, Puerto Rican","High school graduate or equivalent (i.e., GED)","$15,000 - $24,999"
Female,58,American Indian or Alaska Native,"No, not of Hispanic, Latino, or Spanish origin",Some high school,"$25,000 - $34,999"
Female,65,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"Less than $14,999"
Female,61,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,Refused
Female,76,NA,"Yes, Puerto Rican","High school graduate or equivalent (i.e., GED)","$25,000 - $34,999"
Female,51,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999"
Female,40,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999"
Male,55,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some high school,"Less than $14,999"
Male,50,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",No high school,"$25,000 - $34,999"
Female,51,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$75,000 - $99,999"
Female,81,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$15,000 - $24,999"
Female,51,Black/ African American/ Caribbean American,"Yes, Mexican, Mexican American, Chicano","Graduate degree (i.e., Master's, Professional, Doctorate)","$75,000 - $99,999"
Male,64,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some high school,"$50,000 - $74,999"
Male,70,NA,"Yes, Puerto Rican","High school graduate or equivalent (i.e., GED)",NA
Female,51,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","Less than $14,999"
Female,85,White/Caucasian,"Yes, Puerto Rican",Some high school,"$15,000 - $24,999"
Female,85,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$35,000 - $49,999"
Female,30,Other,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$25,000 - $34,999"
Male,52,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999"
Male,81,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$15,000 - $24,999"
Male,37,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above"
Female,73,Other,"Yes, Puerto Rican","High school graduate or equivalent (i.e., GED)",NA
Male,20,Other,Refused,"High school graduate or equivalent (i.e., GED)","Less than $14,999"
Female,80,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)",Refused
Female,60,Refused,Refused,"Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999"
Female,37,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999"
Female,45,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$15,000 - $24,999"
Female,26,Two or more races,"Yes, Other",Some college but degree not received or in progress,"$25,000 - $34,999"
Female,64,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$15,000 - $24,999"
Female,46,Other,"Yes, Puerto Rican",Some high school,"$35,000 - $49,999"
