Team,Empowerment,Gender Groups,Race Groups,Gender Comp,Race Comps,Improvements,Age,Occupation/Title,Are you a current student?,Gender,Education,School
"Group of similarly qualified but diverse membership across many different types of diversity (race, gender identity, seniority / age).","Female empowerment means no necessarily ensuring an equality in outcome, but an equality of opportunity. There's still very clearly a gap in opportunity that cannot be passively fixed, which means that at times, opportunities must be given for diversity's sake.",Positive. They should exist to allow women to share successes and trials faced that men may not understand and would quickly dismiss. There's no damage to anyone to have groups for people of similar backgrounds to share experiences - gender included.,"Same as above. There will always be difficulties faced by people of color that I will never understand, and I think race-specific interest groups are a positive way for people to share their experiences and learn from one another.","I think these are effective when there is a clear lack of opportunity in the field in which the competition pertains. Obviously, the Women's Case Competition has ruffled some feathers, and I think that's because our friend groups views case comps as equal opportunity fields already. But when you look at coding or other STEM-fields, there is so clearly still a difference in opportunity that gender-specific competitions may help to bridge the divide.","Same as above. While I am not familiar with an Asian-Only Hackathon, having hackathons for under-represented racial or ethnic groups would be justified on the same logic above. There are fields where the playing field is clearly not level, and so opportunities need to be created to level the field. This sort of experiential learning is essential, and say you see a disproportionate share of hackathon participants are white or Asian, you could obviously justify having a black / Hispanic / etc. hackathon.","I think interest groups are a good starting place. There should also be formalized mentorship networks for those that want to take advantage of them. Otherwise, it comes down to ensuring opportunities are truly there. While I personally am opposed to some benefits firms offer to help women advance their careers (egg-freezing specifically), there should be support for women to take ample maternity leave (a year at least) and then support for when they're ready to return (subsidized child care).",18 - 24,Consultant,No,Male,Bachelor's Degree,University of Texas
Group of people with different interests and backgrounds who come together towards a common goal.,"Trusting females, trusting them as leaders, trusting them to make decisions, looking to female leadership",I think they are important in order to make change in gender neutral groups.,I think they are important in order to make change in race neutral groups.,"I think gender specific is okay, especially in sports, but I think in science it shouldn't matter if you are a boy or girl. While it's important to build strong communities that can foster change in the wider audience -- i don't think its 100% required to be gender specific.",i think this is probably unecessary -- i think value can be derived from clubs or groups that are fostering change across the board - rather than restricting it for a competition.,Having more leadership and development courses and putting females in leadership roles. This gives other team members inspiration and shows them what they can be in the future.,25 - 34,N/A,No,Female,Bachelor's Degree,N/A
"Everyone supports each other, provides feedback kindly and looks out for the others best interest. Also fun, sociable and smart in their own way - able to add to the team and enrich each other's work",Providing women with the tools to succeeed,"Love it and support it, wish there was more support for it if not already",None in particular besides continued support,"Tough, although it's great to empower women with these resources it's also discriminatory to others","Again, potential discrimination",Working towards fixing social and unconscious biases that lead people to believe that men can overpower women in the workplace. Recruitment taking necessary steps to provide equal opportunity to women and removing gender biases as much as possible (e.g. Blind resume),18 - 24,Account executive,No,Female,Bachelor's Degree,University of Washington
Team that helps to develop their people; is focused on the deliverable but also cares to help their team members grow.,It's doing whatever you want without any limitations and judgement for being a women.,"I think today they are needed to help close the gap, but I hope one day they won't be needed.",Same answer as above,Same,Same,Having more talks about female empowerment that involve men too.,25 - 34,Consultant,"Yes, Full-Time",Female,Bachelor's Degree,University of Washington
MY IDEAL TEAM IS MADE UP OF INDIVIDUALS THAT THINK DIFFERENTLY THAN ME AND CHALLENGE ONE ANOTHER - BOTH INTELLECTUALLY AND IN EXECUTION.,"ENCOURAGEMENT AND THE CONVICTION THAT I, AS A FEMALE, CAN ACCOMPLISH JUST AS MUCH, IF NOT MORE, THAN A MALE IN MY PROFESSION. IT ALSO REFERS TO EQUALITY; IT REFERS TO SELF ESTEEM. TO ME FEMALE EMPOWERMENT IS ALL ABOUT BUILDING CONFIDENCE AND LEARNING TO RECOGNIZE & RESPECT THAT WOMEN CAN MAKE THEIR OWN CHOICES, AND BE HAPPY. IT MEANS RECOGNIZING THAT THERE IS NOTHING WRONG WITH BEING A STAY AT HOME MOM, THERE IS NO SHAME IN NOT WANTING CHILDREN, THERE IS NO SHAME IN WANTING TO BECOME A CEO OF A MAJOR CORPORATION, IN TEACHING, IN ENTERING THE SCIENCES, IN TRANSITIONING, ETC. IT MEANS LEARNING TO SUPPORT FEMALES IN ALL THESE ENDEAVORS.","LOVE THEM. IT'S EASIER TO SEE YOURSELF IN A PROFESSION WHEN YOU CAN SEE OTHERS LIKE YOURSELF IN THAT PROFESSION. I FEEL THAT SPECIFIC INTEREST GROUPS WERE CREATED TO HABOR A SAFE ENVIRONMENT FOR WOMEN TO EXPRESS THEIR FEELINGS AND ADDRESS GENDER-SPECIFIC CHALLENGES, LIKE PREGNANCY, SEXISM, AND OTHER DISCRIMINATION. IT'S ALSO A GOOD WAY TO NETWORK, AND LEARN FROM THE MISTAKES OF OTHERS.","I THINK THEY SERVE A PURPOSE AND UNFORTUNATELY ARE STILL NEEDED IN TODAY'S AGE. AS AN AFRICAN AMERICAN FEMALE WORKING IN TECHNOLOGY, IT'S VERY HARD TO FIND PEOPLE THAT COME FROM A SIMILAR BACKGROUND. THUS, IT'S HARD TO REALLY CONVEY WHAT I FEEL AND SEEK USEFUL ADVICE. I THINK THEY ARE ALSO NEEDED IN THE WORKPLACE IN ORDER FOR THE MAJORITY / PEOPLE WITH DIFFERENT EXPERIENCES TO UNDERSTAND EACH OTHER.",I AM INDIFFERENT.,"I THINK THEY ARE EFFECTIVE IF THE GOAL/INTENT IS TO INCREASE DIVERSE APPLICANTS IN A CERTAIN FIELD. FOR EXAMPLE, NABA ACCOUNTING COMPETITIONS OR THE LAGRANT MARKETING FOUNDATION. HOWEVER, I DON'T THINK THE COMPETITIONS SHOULD EXCLUDE THOSE THAT ARE OF A DIFFERENT RACE, ESPECIALLY BECAUSE SOME INDIVIDUALS IDENTIFY WITH THE RACE / CULTURE THEY WERE BORN WITH.",,25 - 34,Consultant,No,Female,Bachelor's Degree,University of Washington
"Diverse in background, gender, and thought. Members would have different strengths that can be leveraged in various ways.","To me, female empowerment means solidifying the fact that women and men are equal in every way, by helping women from all age groups realize that they deserve the same treatment as their male peers.","I am for these interest groups, as long as these members understand that there is value in joining coed groups. I think that the point of these interest groups is to create a bonding point for its members in order to deliver the message of female empowerment.","I am for these groups, as long as the members have an understanding that there is value in joining racially diverse groups as well. I think the race/culture profile is a way to create a bonding point for the members. I have friends who are not Asian, but joined ABSA because they love Asian culture, and know that they would have that in common with the other members.","I am for these competions, with the understanding that there is value in joining coed competitions. While I am currently chairing the Women's Case Competition, I am also a member in other coed organizations and competed in coed case competitions. To me, these competitions create a bonding point for its participants in order to deliver the message of female empowerment, because sadly, not every women believes that she is equal and has equal capabilities as her male peers. We tell all of the participants that we want them to compete in coed case competitions in the future. I hope that one day, there will no longer be a need for a Women's Case Competition, and that female case competition participation rate will be at 50%.","I am for these competitions for the same reason that I am for the race specific interest groups, since most of these competitions are hosted by those groups.","-Hosting conferences with other schools to learn what they are doing to empower women.
-Pitch the male dominant majors (STM, MIS, etc.) to women interest groups.",18 - 24,Student,"Yes, Full-Time",Female,High School Graduate,University of Texas
Open and collaborative but also with clear designations of responsibility to maximize efficiency and accountability with creative results.,"Moving toward equity across genders in social, economic and political contexts.","I think this is a double-edged sword. While it can be helpful to have a community to share similar experiences and tactics, but to cause real change and progress, groups can't be too silo-ed. You need to have buy in from all groups (especially those in ""power"") to have a meaningful impact.","Same as above. It's important not to generalize lump together all experiences of given groups, as that takes away from the very real issues that need to be recognized or addressed. However, the more people that can be brought together to support and work with and on behalf of others, the more impact can be achieved.","Not productive or conducive to celebrate the achievements of people. The more competitions are divided, the more silo-ed the conversation becomes.",Same as above.,Having more women in senior leadership positions. Have more of an open dialogue about the importance of diversity internally.,25 - 34,Event programmer,No,Female,Graduate Degree,University of Texas
My ideal team is a group of people with a joint objective and strong sense of support for each other. Everyone knows they can't succeed without the others,It means everyone (men and women) pulling to make sure that female are encouraged in the same opportunities as males,"Love them. If nothing else, they bring awareness and inspiration to women. But I think they do much more good than that","Also love them. Once again, highlights success stories and provides inspiration for the under-represented. It's just another good place to gain a sense of community.","I have mixed feelings about these... In one way I think it is a good way to encourage entries (for example, in a science fair) but at the same time, I think it encourages the mindset that women can't keep up with the men. Have a female only science fair to give the girls a chance because they wouldn't have a chance against the boys. And that is just incorrect.","Exactly the same as above. Might encourage entries, but also might bring about the wrong mindset.","More than the workplace, I think the consulting industry needs re-vamping to empower women. Make it possible for a women to be able to move up the ranks without having to be on the road every single day of the week to maintain client relationships. Every woman knows that it is virtually impossible to stick through the ""on the road"" life if they plan to have a child. You physically can't be on a airplane after thirty-something weeks into your pregnancy. Which means your clients dont see you, which means the relationship ultimately becomes someone elses (probably a man's), and then you lose your sales with that client. It is just a fact of the industry. Therefore, women tend to opt out of the consulting lifestyle before this life step. The industry needs to change with the times in that people dont actually have to be on planes every week and highlight the women that have actually been able to do it all. It should not be such a known fact that you can't make it past a certain point if you are a female who decides to have children.",18 - 24,Consultant,No,Female,Bachelor's Degree,University of Texas
"Diverse, friendly",Being able to work on equal terms based on merit regardless of gender,"Since women are not always treated equal, having these organizations are important to ensure that voices are heard and to inspire women to reach for goals that may otherwise may not have been in their power. They also satisfy certain needs that are maybe women specific such as educating women on their natural strengths and weaknesses.",Same as above.,I think that they are fine and probably empower women. However making competitions less diverse probably cheapens the overall merits entitled to the winner.,Same reason above,In general women should self educate themselves on ways to empower themselves and other women. Examples would be understanding how to not pull away when they they plan to have children or like the women in the White House who credit the ideas to the proper woman if a man tries to take credit for an idea or if a woman doesn't giver herself credit for the work she has done.,18 - 24,Associate,No,Female,Graduate Degree,University of Texas
"My ideal team comes to team meetings having prepared for their specific role within the team. The team is comprised of people who approach problems/situations slightly differently. In addition, members of the team must be confident in advocating for their perspective, so that the team holistically approaches tasks.",Female empowerment means the ability to be successful in any desired pursuit through the woman's own initiative and with no road blocks related to her gender. It involves a element of acknowledgement of a woman's unique skills and talents in her success.,"I think that they've been an essential way for women of past generations to assert themselves through connection with other women. Moving forward, I'd like to see interest groups that are inclusive from an intersectional perspective; Gender, sexual orientation, race, and socioeconomic class all interact and form natural groupings. Limiting interest groups to biological sex as a common denominator is, well, limiting.",Essential for those identifying with a racial group that has less power: cohesion of group members who are underrepresented by those historically in power is a tool to advocate for more power.,"I have mixed feelings here. Women now receive higher levels of education than men, yet they are still underrepresented in certain disciplines. I think that gender-specific scholarships are a positive way to encourage women to participate in fields that are dominated by men. But, I also think that at the earliest levels of education we should not train children to believe that their gender will determine their success in a certain subject (e.g. elementary math teachers expecting poorer scores for female children versus male or vice versa with elementary english teachers). So, we should make all academic opportunities as inclusive as possible.","Positive is they provide some sort of financial reparation or award for a person who identifies with a group that is underrepresented in the domain that the competition relates to. For instance, tech companies in the US report underrepresentation of Black and Latino engineers. Competitions that assist blossoming engineers (e.g. with grants or mentor connections) that identify as Black or Latino should be encouraged.",More structured mentorship opportunities for women and men with women in leadership. Unconscious bias training with men and women in the room together.,18 - 24,Nursing student,"Yes, Full-Time",Female,Bachelor's Degree,University of Texas Medical Branch
Diverse of thought and interested in being inclusive,Choice and respect,"Agree if they help us get into the room and teach skills that equalize the playing field. Although, I also agree in sisterhood for moral and professional support. I think there is a place for both.",Same as above,Not as familiar with this so not sure but I would think in some.cases especially dealing with youth it is not appropriate,Same as above,Walk the talk...hire or promote more women and especially women of color to important roles.,35 - 44,Public Affairs,No,Female,Graduate Degree,George Washington University
Each member of the team bringing in a unique set of skills and talents,"It is understanding that as a female I am just as capable of anything as any male is, and recognizing that not all people believe this to be true. Understanding that as a female on this day, there are some systematic boundaries I must overcome. Understanding that I must take an active role in overcoming these boundaries, and also encouraging and equipping the women around me to do the same.","I think it is a great way to find community. It's encouraging to know there are people like you with similar goals and interests, especially in areas of interest that are typically male dominated. There's a level of comfort that these groups can bring for some.","Same as my answer for above. I think finding community is very important and students can find that in whichever way is important to them (gender, race, interest in industry, etc)","I think it depends on the intentions of the event. Pertaining to the Women's Case Competition I gained a lot of value being a part of the competition for two years. I wouldn't say I was intimidated by McCombs-wide case competitions because they are male-dominated, but rather because I've never done one before and knew students who competed in the McCombs-wide competitions are pretty frequent competitors. I think the Women's Case Competition was great for me because it achieved what it's meant to do... creates a competition marketed specially for women, to then encourage further involvement in case competitions in the future. It ties back to the questions regarding gender based organizations -- it's a feeling of community. Including having a women MBA mentor who WOWd me with her passion and experience with case competitions.","If the intentions are to help encourage and empower people of specific race to get involved in the area of competition, I think it's great.","Community and mentorship. It's empowering to see when a company recognizes the importance of community. I know some companies and firms have ""networks"" for the women in the workplace.",18 - 24,Student,"Yes, Full-Time",Female,Bachelor's Degree,University of Texas
"Collaborative, hardworking, open-minded, diverse, with shared goal for the organization","Making systemic, proactive changes to help women achieve professional and economic success","Very supportive, but not an excuse for non-gender specific groups to ignore issues of gender","Very supportive, but see above response as applied to race. Believe all members of race specific groups should proactively join other non-race specific groups as well.",Less supportive. Not sure the distinction is necessary. The point is to remove the gender bias and having a women only competition defeats the purpose.,Less supportive. The distinction is not necessary or helpful. An Asian programming group could sponsor a hackathon but it should be open to all races.,Make efforts to hire more women. Appoint more women to leadership positions.,25 - 34,Business Analsyt,No,Male,Bachelor's Degree,Stanford
"Diverse perspectives, open-minded and free communication, action-oriented","Female empowerment means creating an environment where females are comfortable to voice their opinions, enact change, fully participate, and potentially lead initiatives, especially in male-dominated environments.","For fields where women are historically underrepresented, these groups play a key role in empowering women because it allows them to see that there are other individuals like them in these industries. They allow women to discuss the unique challenges they face due to their gender. However, these discussions will never come to a fruitful conclusion if these interest groups do not eventually include men in the conversation. As it stands, these groups probably exist because men are generally leaders in that field so women feel underrepresented. The biggest way to create a more equitable industry is to get leaders (most likely men) invested and in on the conversation.","Race-specific interest groups exist for a lot of the same reasons gender-specific interest groups exist. However, race adds the complex dimension of socioeconomic class to the equation. Though they are not the same, race and class are inextricably intertwined in America. In fields like business, where a person's professional network is a key component to advancing in your career, racial minorities may be at a significant disadvantage if they come from a poor background. Race specific interest groups can help minorities overcome this initial disadvantage.","In general, I think gender specific competitions should be enforced in areas where that gender is generally not encouraged to participate or is drastically underrepresented. These competitions should aim to encourage higher rates of participation so that eventually there will be equal amounts of each gender in the competition. Competition coordinators should keep a close eye on interest and",Same as above. Focus on increasing overall participation as a long-term goal.,"I think the key is representation. McCombs is probably skewed toward more male professors and deans, so the hiring process should consider diversity as another criteria. Another idea is implementing a mentorship program for aspiring female business professionals.",18 - 24,Student,"Yes, Full-Time",Female,Some College / Associates Degree,University of Texas
"my ideal team is full of people from various locations, social economic background, mix of genders, mix of races and all would me practicing mindfulness (mind, emotions, physical and spirit) in their personal lives.",I'll be honest I Googled it LOL. I dunno I guess it means that as a woman I am empowered to design and craft my own life on my own terms.,"I feel that they serve a special place in the industry. It would be wonderful if we didn't need those resources but unfortunately we do. I truly wish we could get to the root of the issue and have state funded mindfulness opportunities available. If everyone loved themselves and believed they could do anything, there would be no empowering needed and these groups could serve as social and business resources.",Ditto what I said above ^^ These organizations are needed. These groups have been marginalized in every industry and especially the tech industry and technically majority groups have interest groups also... they just call it a country club.,HMMM THIS I KINDA HAVE A PROBLEM WITH. If a co ed school is throwing these... no. If the organization listed above are hosting them ... yes.,same answer as I said above ^^ in a mixed environment we should allow everyone a chance to shine. It is important for the parents to decide if they wan their child involved in activities that promote their interest and race.,"There should be honest workshops where the women are in one room and the men are in the other. Then they come together with their findings (would be even better if neither new the opposite sex would see it) Since its all on post its, its pretty anonymous. It would be interesting if the men and women worked on the opposite sexes exercises, read them and initialized them. I think in the silent reading of the post its alone would be impact",25 - 34,Software Designer,No,Female,Bachelor's Degree,Savannah College of Art and Design
Smart. Passionate. Driven. Creative.,"IMHO it stands for weakness. If we have to put a ""tag"" on it or post broadly, it begins to carries less weight from the start. Empowerment in general comes from within and is silent but powerful.",Great for those who need the support. Since not everyone thinks or acts the same I think of it like a handicap in golf.,"Also great for those who need/want it. I dont see them any different then other groups or clubs. I do not feel the need to be a part of one, but understand and support those who do.","Im pretty sure someone would get upset at a ""Boys Only"" event, but they still happen. I dont see them any different then other specifically focused activity.","Im pretty sure someone would get upset at a ""X Only"" event, but they still happen. Again I dont see them any different then other specifically focused activity.",Funding for event attendance. Sponsoring events. Training.,35 - 44,Creative professional,No,Female,Bachelor's Degree,Multiple schools
Half male half female all approximately same age and from different backgrounds,"Knowing on the inside that you are valuable and can contribute, and then taking that positivity and helping lift your other female peers up.",I think they are great and much needed!,Very necessary in the present day and also create a safe space,I think it can be a way to really see and feel empowered by your fellow female peers. It is inspiring and also a way to expand your own network.,I think these would be the same uplifting and empowering opportunities as the gender based competitions.,More female professors!,18 - 24,Student,"Yes, Full-Time",Female,Some College / Associates Degree,University of Texas
Diverse backgrounds and thinking where everyone holds a leadership role which holds everyone accountable,Bringing women to be competitive in areas that are against the status quo,I support this because it allows women to feel confident in roles that typically are dominated by men and allows them to have a ground where they can grow the amount of women in that specific interest,"I highly support with these groups as it allows minorities a comfortable organization for these groups to speak about racial issues in a safe haven with others who face similar issues, it eliminates minoroties who typically hide behind others to be more comfortable","Similar to race specific competitions, I think it is great to bring all women together who are as competitive/successful as themselves as a prideful momento. However, it defeats the purpose of moving up in society as a woman trying to compete with men in the workplace.","Race specific competitions I think brings awareness to others competing that there are people similar to them that are as competitive/successful as them and brings hope. However, when moving up in society (specifically being black) I feel that this defeats the purpose of having a equal playing field where our race could compete and succeed among others who might view the ""minority"" team as inferior","A lot of my classes are dominated by women but when I am placed in teams with mostly men, I feel am viewed as inferior until I have to prove otherwise by doing more than expected, so having more equal groups would help diminish that",18 - 24,Student,"Yes, Full-Time",Female,Some College / Associates Degree,University of Texas
"One where I don't have to worry about doing side work to ""make up"" for being a female minority and can just focus on just how much I love making nerdy stuff for the internet!","Focusing on what I want to learn in my career, having transparent workplaces for and if I'm interested in moving up, not having to worry about the things that are against me all the time","Right now, mixed. It used to be that, I would go to a group, and we'd find a safe space to do what we were there for. If it was a coding group, it was really, hey, I want to meet people who do this, and we'd do that. Last time I saw that be the scene for the most part was when I started out, in 2009. Lately, I see more self-promotion from people who are looking for a personal platform. Venting is great, but I also want to build up my skills. So I don't really do the scene anymore. Luckily, I've got some mentors, both within my minority/gender and outside, who have been really supportive. But I've gotten more empowerment off of genuine conversation than blog posts, groups, meetups.","Same thing. I have been asked to do/run some summits for the Latin@/Hispanic community, for example, the Hispanic Heritage Foundation, but they ended up being networking events. One of them, a panel I did for SXSW, was straight up organized by a PR lady to promote her business. She doesn't even do the tech scene now, she moved onto elections. I want to really share my work, and build community. That's hard to do if again, people have mixed intentions. I will say though, that it's been trickier to organize the Latin@/Hispanic community because we have a wider range of socioeconomic status and races. So, some of us, (I identify as Mexican), are white privilege guys, whose experience isn't like mine, Mexican immigrant woman growing up in poverty kind of experience. At work, I once tried to rally up a group, and started off by inviting everyone who had a Spanish last name--out of that sample, I learned enough that people really didn't want to be in a race-based groups. I mean, some of us don't even know what race/s we are, because we're so mixed. But, for us, it would be kind of messed up to say, ""you can only be part of this movement if your experience sounds like this"" because part of my identity is just trying to connect with anyone who's Mexican and in the industry, and loves to do the same work I do. In talking to my black friends, we seem to have a trickier situation organizing. Ultimately, I long for a community and a stronger voice in all of this, but it doesn't seem like we're there yet.","Unknown. Maybe I got lucky and just beat all the boys when I won science and math stuff growing up. Honestly, if I was a kid again, and gender specific stuff was around, I'd end up doing both the co-eds and this. I would strongly dislike being encouraged to stick to girls-only stuff and stay away from co-ed stuff (warned that a guy might win, or I'm not smart enough for that). It would be demeaning.","Same as above. My high school cohort was pretty diverse. I did end up being the only Mexican kid in a lot of competitions, but I ended up winning a good proportion of them anyway. Also, most of my friends were Asian, so I'd feel lame if I couldn't go and mess around with them, be on their team, etc. What I did find empowering growing up were race-specific and gender-specific mentorship and scholarship opportunities. The over-arching idea in those was that you had to write an essay or submit something that told *your story* and how you came to terms with a hardship, and what you did about it. This way, you sort of processed the reality of what the world and your life was going to have to deal with. But, you had a chance to speak to your community about how, it was still important to you and you were grateful for being in that community, and in turn, to get praise and support back.","Mentorship in anything women want to be. So much today is about STEAM or STEM jobs. It feels demeaning if you want to be awesome in the humanities (like I initially started out)...where white guys are still usually getting more credit. It also says that, we can't succeed unless we latch onto these specific vocational pathways, like there's some door open right now and you need to take advantage of it. In my workplace, we have slack channels that share a bunch of doomsday blog posts and serve as announcements for self-promotion (because people received rewards from following the strategies in the posts or promoting themselves). If I were to read and imitate every single one of those, I would never have time to do my real job. I would love it if workplaces could empower women to do their roles in a healthy proportional balance with just gender or race based things. I went through a phase were I was like that, and at the end felt lost in my own journey because I was no longer doing work that was fulfilling. I was only talking about myself and how I could be That Woman/Brown Person who tech companies were being told to find and retain. I stopped doing that and focused more on getting my colleagues and superiors to know me, my goals, and yeah, if something shitty happened to me, they'd know, or I'd tell them a story about past sexual harrassment (like, a stalker kind of level), and how I wanted to move past that. I've gotten promoted since then, and just got another raise at this job. I feel trusted by my team.",25 - 34,Senior Designer,No,Female,Bachelor's Degree,Notre Dame
"My ideal team is a group of people who are like-minded enough to effectively work towards a common goal, but diverse enough to bring creativity and ingenuity to the process.","Female empowerment means that women have access to the same opportunities as men and are treated as equals once they access those opportunities. Same expectations, same level of respect, same rules, etc. across the board.","I think that gender specific interest groups can be a great thing for both men and women, as long as the people in the group make an effort to connect with people OUTSIDE the group as well. It's great to build camaraderie with people who have similar life experience and worldviews as you, but everyone needs to make an effort to understand ""outsiders'"" perspectives as well. If the women in business are only associating with the women in business, that undermines female empowerment by creating strict divides between the sexes.","Same thing as above! As long as those in the specific interest group are making an effort to connect with people OUTSIDE their group as well, I think the groups are great.","I think that, when it comes to competition, female empowerment means men and women competing all together. When a ""female-only science fair"" is created, for example, I believe it's implied that females could not compete in the regular/male science fair because they're not as competent in that field.","Same thing as above! It's great for groups of similar people who enjoy similar things to get together (interest groups), but when it comes to competition, there should be equal opportunity and equal expectations across the board.",We are actually a mostly female workplace! 90% of our permanent office staff are female. I feel very empowered at work because each woman's strengths are recognized and respected. Women carry just as much decision-making power as men.,18 - 24,Afterschool Program Director at Side by Side Kids,No,Female,Bachelor's Degree,University of Texas
"Small, collaborative team with ability to identify problems and put together plans to solve those problems","That women are represented across all areas of power in government, business, education, etc. and are treated like human beings rather than an extension of a man (e.g. my daughter, my wife, my mother, my sister). That women have the inalienable right to make choices about their own lives and bodies without shame or fear. That women can walk down any street in the world without being verbally accosted or attacked.","I think these interest groups can help make great strides in moving the needle to encourage more women to be represented in positions of power. They can also help bring more women into disciplines and professions where we have been traditionally underrepresented, especially in STEM and politics. That said we still need to be careful that while targeting women as an audience that women are treated as human beings rather than anomalies.",Same as above only replace women with race specific groups.,"Not a fan. There are studies that suggest the more you integrate groups that are singled out of the ""norm"" the more the people that are part of the ""norm"" will be likely to simply accept women, African Americans, Asians, Hispanics, etc. as part of the ""norm"".",Same as above,"Acknowledge that women are treated differently in big and small ways and determine how to provide training to managers and executives on how to combat those unconscious biases. Put more women in positions of authority and set goals to have at least 50% representation of women in the highest levels of a business. Understand and be aware of those things that can drive women away from specific business and disciplines and make a concerted effort to ensure that the social environment is welcoming, especially to young women.",35 - 44,Project Manager,No,Female,Bachelor's Degree,Boston University
"Where you're given the confidence and ability to run with things and make your own path, but are backed by the trust and encouragement that you have people to lean on and bounce questions and ideas off of. A team where you are all comfortable with each other on a personal level, but there is as much of a wall as you allow there to be - I.e. You can post you will be taking time off without needing to be interrogated on a detailed itinerary of your justification and rationale. (I am currently on a very disfunctional team where the senior leaders push all the work down stream yet are incredibly protective about their relationships and letting junior people ""own"" anything they've worked on so I can speak extensively to this)","To be honest, I think it should just be empowerment period. I don't want my firm to try and retain me because I'm a woman, I want them to retain me because I'm great at my job. I don't want people to have to watch their language in a meeting because I'm present, I want them to just not be dicks. At the end of the day, female empowerment is someone emailing you and being like ""hey, you did a great job and rocked it. That was great. You should do that again."" Versus wow you had a great presentation and your outfit was great and you sounded confident. Don't sound confident. Be confident.","Working in investment banking with mostly men, I find gender specific interest groups to be a crutch. I think they're a great way to meet other people, but affinity networks and diversity, in my opinion, should not be bonus points that make up for being an otherwise mediocre coder, banker, teacher, etc.","I don't have a problem with it for networking and fostering discussion. Again, I don't think anything should replace being the best worker.","No thanks. I think to make a playing field equal, everyone needs to take the same shots and let the product speak for itself. If people think there will be a gender bias, try to have it blind judged.",I think unfortunately it perpetuates stereotypes a lot of the time. I think it should be about inclusion and showcasing skills period.,"I can write an essay. Chandler, feel free to call me on this. Empower women to present the page in the deck with numbers versus some fluff bs page. Encourage young women to speak up in meetings with all middle aged men and rock their knowledge and numbers. Encourage women to have BOTH male and female mentors, because I've found males to actually be phenomenal mentors - is if it's some weird daddy complex, but I think it creates weird issues when it is only women to women and just perpetuates this weird cycle of us versus men, ladies let's lean in Sheryl Sandberg style.",18 - 24,Investment Banker,No,Female,Bachelor's Degree,University of Texas
My ideal team would be a collaborative team but with a clear leader. I would like a diverse group of individuals but with common goals for the project. These common goals would be standard of results and time commitment.,Female empowerment to me means that it helps counteract the social norms and standards that often limit women only based on their gender. Overall women often struggle with assertiveness due to the demands of the society which often keep women out of positions of power. Empowerment is recognizing the attributes a women brings to the table and understanding that despite the fact that we communicate differently we are just as qualified for the position.,"I personally dislike them, however I do understand their worth and have joined groups in the past. I think having an ""all women"" event or a ""all men"" event defeats the purpose of women empowerment. I think that truly to empower both genders (in a ideal world) we would not separate them and continue to encourage the gap to exist.","I have very similar views about race specific groups as I do gender. I think that they are helpful because you can spend time with people of ""similar cultures"" and ""beliefs."" However, I think that it does further the isolation of these different groups and encourage a divide. We like being around people that are similar to us. It is human nature. However, I think that it is key to interact with more diverse groups. These groups do not allow you to do that in that specific forum.","As stated before I think that interaction between both sexes and requiring males and females to overcome their ""differences"" will be the best way to empower women. Life is not split based on gender and often won't compensate for gender differences. Women need to learn the skills required to cope with these differences and hopefully along the way will teach men a little too.",I think that race and gender should not be a criteria. I believe merit and skill should be the requirements for academic events.,"I think by encouraging discussions about racial and gender stereotypes, social requirements and the strengths behind this. Every single individual has a aspects of their personality that may be different with someone that they are working with in a team. Learning how to embrace and understand these differences will lead to a more productive team experience. In general being more open about these subject matters would help decrease the stigmatisms and empower women to embrace their own unique attributes.",18 - 24,Student,"Yes, Full-Time",Female,Bachelor's Degree,University of Texas
"Diverse, collaborative, competitive at the appropriate times",Appropriate building up confidence and creating equal roles in a meeting/business setting. Has to have subtlety to it,"Not my favorite. I understand encouraging coders and STEM for young women in order to make an impression, but at some point it has to go from ALL women to just everyone as equals.","Also not my favorite. I never joined them and was overall against their an ""ABSA specific case comp"" because is it just Asians who can participate? No one knew. Granted, I was Careers Director for UBC so we worked with these organizations for our case competitions, but I never understood why we had to have race specific groups. It just silos people and there is an underlying sense of racial competition - even if it isn't said.","NO! These should 100% be inclusive of everyone - male, female, other. The real world is NOT ever defined as ""female only"". We earned a right to stand next to men a long time ago, so why don't we move past traditional times and step into the present to define our future?",No. Again. Limits the skills to a specific race.,"My company does an excellent job, we're all still learning how to navigate the unconscious and conscious biases that are present but simply acknowledging the situation with your team or client is what has helped me. I don't understand baseball references all the time, and the men don't understand the Bachelor ladies. How do you comprise? You learn about the other topics and engage in conversation. It was never meant to be a division, so empowering a topic through conversation has been the key to success for me at my workplace.",18 - 24,Business Strategy Consultant,No,Female,Bachelor's Degree,University of Texas
My ideal team has open minded individuals who are passionate about what they do.,http://nymag.com/thecut/2013/05/shine-theory-how-to-stop-female-competition.html (I live by Shine Theory),I support gender specific interest groups– creating a safe space for people to learn and grow is so important.,See above.,"Again, see above.","Again, see above.",,25 - 34,Software Designer,No,Female,Bachelor's Degree,University of Georgia
