What is your gender?,What is your age?,What is your race?,Are you hispanic?,What is your level of education?,What is your income?,What area of New York are you from?,Do you have a drivers license?,Opinion of the subway,Has this affected how often you use the subway?,Opinion on the bus service,Has this affected how often you use the bus,Relationship status,Do you get state welfare?,Are you disabled?,What type of building do you live in?,Do you rent or own your house?,Employment Status,What type of industry do you work in?,What is your preferred language?
Female,56,Asian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999",Outer Queens,Yes,Getting worse,I use the subway less frequently,Getting worse,I take the bus less frequently,Married,No,No,A one family house detached from any other house,Own,Employed full time (working more than 30 hours per week),Government,English
Female,40,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$75,000 - $99,999",Staten Island,No,Staying the same,NA,Getting worse,I take the bus less frequently,Single,No,No,A one family house detached from any other house,NA,Stay-at-home parent,NA,English
Male,53,Other,"Yes, Puerto Rican","High school graduate or equivalent (i.e., GED)","$35,000 - $49,999",Inner Brooklyn,No,Getting worse,I use the subway less frequently,Getting worse,I take the bus the same amount,Married,No,No,A building with 2 to 9 apartments,Rent,Employed full time (working more than 30 hours per week),Non-profit,English
Female,36,Two or more races,"Yes, Puerto Rican","Bachelor's degree (i.e., BA, BS, AB)","$200,000 and above",Manhattan Core,Yes,Getting worse,I use the subway less frequently,NA,NA,Married,No,No,A building with 10 to 49 apartments,Rent,Employed full time (working more than 30 hours per week),"Professional & Business Services (consulting, legal, marketing)",English
Male,34,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$50,000 - $74,999",Northern Manhattan,Yes,Getting worse,I use the subway the same amount,Staying the same,NA,Single,No,No,A building with 2 to 9 apartments,Rent,Employed full time (working more than 30 hours per week),Construction,English
Female,56,Two or more races,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$35,000 - $49,999",Manhattan Core,No,Staying the same,NA,Staying the same,NA,Married,No,No,A building with 2 to 9 apartments,Rent,Unemployed,NA,NA
Female,18,Other,"Yes, Other","High school graduate or equivalent (i.e., GED)","$15,000 - $24,999",Southern Bronx,No,Getting better,I use the subway more frequently,Getting better,I take the bus more frequently,Single,No,No,A building with 2 to 9 apartments,Rent,Full time student,NA,English
Male,22,Other,"Yes, Other",Some college but degree not received or in progress,"$25,000 - $34,999",Southern Bronx,Yes,Getting better,I use the subway less frequently,Staying the same,NA,Single,No,No,A building with 10 to 49 apartments,Own,Employed part time (working less than 30 hours per week),Transportation and Utilities,English
Male,40,White/Caucasian,"Yes, Cuban","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999",Manhattan Core,Yes,Staying the same,NA,Staying the same,NA,Married,No,No,A building with 10 to 49 apartments,Own,Employed full time (working more than 30 hours per week),Other,NA
Female,25,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999",Staten Island,Yes,Staying the same,NA,Staying the same,NA,Married,No,No,A building with 50 or more apartments,Rent,Employed full time (working more than 30 hours per week),Arts & Entertainment,English
Male,34,Asian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999",Staten Island,Yes,Getting worse,I use the subway the same amount,Staying the same,NA,Single,No,No,A one family house detached from any other house,Own,Employed full time (working more than 30 hours per week),Technology & Telecommunications,English
Female,23,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$15,000 - $24,999",Southern Bronx,Yes,Staying the same,NA,Getting better,I take the bus the same amount,Single,Yes,No,A building with 10 to 49 apartments,Rent,Part-time student,NA,English
Female,67,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999",Inner Brooklyn,Yes,Getting worse,NA,Getting better,NA,Single,No,No,A building with 2 to 9 apartments,Own,Retired,NA,English
Male,30,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$25,000 - $34,999",Northern Bronx,Yes,Getting better,I use the subway more frequently,Getting better,I take the bus more frequently,Single,No,No,A one family house detached from any other house,Own,Employed full time (working more than 30 hours per week),Non-profit,NA
Male,18,Asian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$100,000 - $149,999",Manhattan Core,No,Getting worse,I use the subway the same amount,NA,NA,Single,No,No,A building with 2 to 9 apartments,Own,Employed part time (working less than 30 hours per week),Retail,English
Female,30,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$75,000 - $99,999",Inner Brooklyn,Yes,Getting worse,I use the subway the same amount,NA,NA,Single,No,No,A building with 2 to 9 apartments,Rent,Employed full time (working more than 30 hours per week),Other,English
Male,65,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999",Inner Queens,Yes,Getting worse,I use the subway the same amount,Staying the same,NA,Married,No,No,A one family house attached to one or more houses,Rent,Retired,NA,English
Female,44,Asian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999",Northern Manhattan,No,Getting worse,I use the subway the same amount,NA,NA,Living in a committed partnership,No,No,A building with 50 or more apartments,Rent,Employed full time (working more than 30 hours per week),Media,English
Male,32,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999",NOT CODED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English
Male,39,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$75,000 - $99,999",Northern Manhattan,Yes,Getting worse,I use the subway less frequently,Staying the same,NA,Married,No,No,A one family house detached from any other house,Own,Employed full time (working more than 30 hours per week),"Professional & Business Services (consulting, legal, marketing)",English
Male,19,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$15,000 - $24,999",Northern Bronx,Yes,Getting worse,I use the subway less frequently,Getting better,I take the bus less frequently,Single,No,No,A building with 10 to 49 apartments,Rent,Part-time student,NA,English
Male,41,Black/ African American/ Caribbean American,"Yes, Puerto Rican",Some college but degree not received or in progress,"$15,000 - $24,999",Inner Queens,Yes,Getting worse,I use the subway the same amount,Staying the same,NA,Married,No,No,A building with 2 to 9 apartments,Rent,Unemployed,NA,English
Female,34,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999",Inner Queens,Yes,Staying the same,NA,Getting better,I take the bus more frequently,Living in a committed partnership,No,No,A building with 2 to 9 apartments,Rent,Employed full time (working more than 30 hours per week),Arts & Entertainment,English
Male,22,Black/ African American/ Caribbean American,"Yes, Mexican, Mexican American, Chicano",Some college but degree not received or in progress,"$15,000 - $24,999",Southern Bronx,Yes,Getting worse,I use the subway less frequently,Staying the same,NA,Single,No,No,A building with 2 to 9 apartments,Rent,Employed full time (working more than 30 hours per week),Technology & Telecommunications,English
Male,45,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$15,000 - $24,999",Middle Queens,No,Getting worse,I use the subway less frequently,Getting better,I take the bus the same amount,Divorced,No,No,A building with 50 or more apartments,Rent,Employed part time (working less than 30 hours per week),Non-profit,English
Female,18,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some high school,"$35,000 - $49,999",Southern Bronx,No,Getting worse,I use the subway the same amount,Staying the same,NA,Single,No,No,A building with 2 to 9 apartments,NA,Unemployed,NA,English
Female,20,Asian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$50,000 - $74,999",Outer Queens,Yes,Getting worse,I use the subway more frequently,Getting better,I take the bus more frequently,Single,No,No,A one family house detached from any other house,Own,Full time student,NA,English
Male,20,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$25,000 - $34,999",Inner Brooklyn,No,Getting better,I use the subway more frequently,Staying the same,NA,Living in a committed partnership,No,No,A building with 2 to 9 apartments,Rent,Full time student,NA,English
Female,36,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999",Staten Island,Yes,Getting better,I use the subway the same amount,Getting better,I take the bus the same amount,Married,No,No,A one family house detached from any other house,Own,Employed full time (working more than 30 hours per week),Retail,English
Female,45,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999",Staten Island,Yes,Getting better,I use the subway the same amount,Getting better,I take the bus the same amount,Married,No,No,A one family house detached from any other house,Own,Unemployed,NA,English
Female,49,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$200,000 and above",Staten Island,Yes,NA,NA,NA,NA,Married,No,No,A one family house detached from any other house,Own,Stay-at-home parent,NA,English
Male,58,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","Less than $14,999",Southern Bronx,Yes,Getting worse,I use the subway the same amount,Staying the same,NA,Single,Yes,No,A building with 50 or more apartments,Rent,Unemployed,NA,English
Male,34,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above",Northern Manhattan,Yes,Getting worse,I use the subway the same amount,Getting worse,I take the bus less frequently,Married,No,No,A building with 50 or more apartments,Rent,Employed full time (working more than 30 hours per week),Arts & Entertainment,NA
Female,45,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"Less than $14,999",Northern Bronx,No,Staying the same,NA,Staying the same,NA,Married,Yes,No,A building with 2 to 9 apartments,Rent,Stay-at-home parent,NA,English
Female,65,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999",Middle Queens,Yes,Getting worse,I use the subway the same amount,Getting worse,I take the bus the same amount,Divorced,No,No,A one family house detached from any other house,Own,Employed full time (working more than 30 hours per week),Other,English
Male,66,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$25,000 - $34,999",Middle Queens,Yes,Staying the same,NA,Staying the same,NA,Single,No,No,A building with 50 or more apartments,Rent,Retired,NA,English
Male,74,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$50,000 - $74,999",Staten Island,Yes,Staying the same,NA,Staying the same,NA,Widowed,No,Yes,A one family house detached from any other house,Rent,Retired,NA,English
Female,39,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999",Northern Manhattan,Yes,Getting worse,I use the subway the same amount,Getting better,I take the bus the same amount,Single,No,No,A building with 10 to 49 apartments,Rent,Employed full time (working more than 30 hours per week),Arts & Entertainment,English
Male,26,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999",Manhattan Core,Yes,Getting better,I use the subway less frequently,Getting better,I take the bus the same amount,Single,No,No,A building with 10 to 49 apartments,Own,Employed full time (working more than 30 hours per week),Retail,NA
Female,30,Asian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$35,000 - $49,999",Northern Manhattan,Yes,Getting worse,I use the subway the same amount,Getting better,I take the bus more frequently,Living in a committed partnership,No,No,A building with 10 to 49 apartments,Rent,Employed full time (working more than 30 hours per week),Non-profit,English
Female,25,Asian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above",Middle Queens,NA,Getting worse,I use the subway more frequently,Getting better,I take the bus less frequently,Single,Yes,No,A building with 10 to 49 apartments,Rent,Full time student,NA,English
Female,42,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999",Northern Bronx,Yes,Getting worse,I use the subway the same amount,Getting worse,NA,Living in a committed partnership,No,No,A building with 50 or more apartments,Rent,Employed full time (working more than 30 hours per week),Financial services,NA
Male,71,Two or more races,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999",Southern Bronx,No,Getting worse,I use the subway the same amount,Staying the same,NA,Married,No,No,A building with 10 to 49 apartments,Rent,Retired,NA,English
Male,31,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$50,000 - $74,999",Staten Island,Yes,Getting worse,I use the subway less frequently,Getting worse,I take the bus less frequently,Married,No,No,A one family house detached from any other house,Own,Employed full time (working more than 30 hours per week),"Professional & Business Services (consulting, legal, marketing)",English
Male,65,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$35,000 - $49,999",Inner Queens,Yes,Getting worse,I use the subway the same amount,Staying the same,NA,Single,No,No,A building with 10 to 49 apartments,Own,Retired,NA,English
Female,33,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$35,000 - $49,999",Outer Brooklyn,No,Getting worse,I use the subway more frequently,Staying the same,NA,Single,No,No,A building with 2 to 9 apartments,Rent,Employed full time (working more than 30 hours per week),Other,English
Female,25,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999",Inner Queens,Yes,Getting worse,I use the subway the same amount,Staying the same,NA,Single,No,No,A building with 50 or more apartments,Rent,Unemployed,NA,English
Female,41,Asian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999",Southern Bronx,Yes,Staying the same,NA,Getting worse,I take the bus the same amount,Single,No,No,A building with 50 or more apartments,Rent,Employed full time (working more than 30 hours per week),Non-profit,English
Male,32,Asian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999",Inner Queens,Yes,Getting worse,I use the subway the same amount,Getting worse,I take the bus less frequently,Married,No,No,A building with 10 to 49 apartments,Rent,Employed full time (working more than 30 hours per week),"Professional & Business Services (consulting, legal, marketing)",English
Female,23,Other,"Yes, Puerto Rican","High school graduate or equivalent (i.e., GED)","$35,000 - $49,999",Northern Bronx,No,Getting worse,I use the subway less frequently,Getting worse,I take the bus less frequently,Living in a committed partnership,No,No,A building with 50 or more apartments,Rent,Stay-at-home parent,NA,English
Male,74,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999",Middle Queens,No,NA,NA,NA,NA,Married,No,No,A one family house detached from any other house,Own,Retired,NA,NA
Female,35,White/Caucasian,"Yes, Mexican, Mexican American, Chicano","Associate degree (i.e., AA, AS)","$25,000 - $34,999",Inner Queens,Yes,Staying the same,NA,Staying the same,NA,Married,No,No,A building with 10 to 49 apartments,Rent,Employed part time (working less than 30 hours per week),Hospitality,English
Male,66,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$35,000 - $49,999",Staten Island,Yes,Staying the same,NA,Staying the same,NA,Single,No,No,A building with 50 or more apartments,Rent,Retired,NA,English
Female,46,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","Less than $14,999",Inner Queens,Yes,Getting worse,I use the subway the same amount,Getting worse,I take the bus the same amount,Single,No,No,A building with 50 or more apartments,Rent,Unemployed,NA,English
Male,32,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$75,000 - $99,999",Inner Brooklyn,Yes,Getting better,I use the subway more frequently,Getting better,I take the bus less frequently,Married,Yes,No,A one family house attached to one or more houses,Own,Employed full time (working more than 30 hours per week),Education,Spanish
Male,58,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$75,000 - $99,999",Staten Island,Yes,NA,NA,NA,NA,Married,No,No,A one family house attached to one or more houses,Own,Retired,NA,English
Male,62,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999",Middle Queens,Yes,Getting better,I use the subway the same amount,NA,NA,Married,No,No,A one family house attached to one or more houses,Own,Employed part time (working less than 30 hours per week),Other,English
Male,71,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999",Inner Queens,Yes,Getting worse,I use the subway the same amount,NA,NA,Single,No,No,A building with 50 or more apartments,Own,Unemployed,NA,English
Male,39,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$25,000 - $34,999",Northern Manhattan,Yes,Staying the same,NA,Staying the same,NA,Single,No,No,A building with 50 or more apartments,Rent,Employed full time (working more than 30 hours per week),Manufacturing,English
Male,40,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999",Northern Bronx,Yes,Getting better,I use the subway more frequently,Getting better,I take the bus less frequently,Married,No,No,I am homeless,NA,Employed full time (working more than 30 hours per week),Education,English
Male,64,White/Caucasian,"Yes, Other","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999",Southern Bronx,Yes,Getting worse,I use the subway the same amount,Getting worse,I take the bus the same amount,Married,No,No,A building with 50 or more apartments,Rent,Unemployed,NA,English
Male,25,White/Caucasian,"Yes, Puerto Rican","High school graduate or equivalent (i.e., GED)","$35,000 - $49,999",Inner Brooklyn,Yes,NA,NA,NA,NA,Single,Yes,No,NA,NA,Employed part time (working less than 30 hours per week),Other,NA
Male,71,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$75,000 - $99,999",Staten Island,Yes,NA,NA,Getting better,I take the bus more frequently,Married,No,Yes,A one family house detached from any other house,Own,Retired,NA,English
Male,58,White/Caucasian,"Yes, Other",Some college but degree not received or in progress,"$50,000 - $74,999",Middle Queens,Yes,Getting better,I use the subway more frequently,Getting better,I take the bus less frequently,Single,Yes,No,A building with 10 to 49 apartments,Rent,Unemployed,NA,NA
Female,71,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$15,000 - $24,999",Staten Island,Yes,Getting worse,I use the subway the same amount,Staying the same,NA,Divorced,No,No,A building with 2 to 9 apartments,Rent,Retired,NA,NA
Female,36,Two or more races,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$150,000-$199,999",Inner Queens,Yes,Getting better,I use the subway the same amount,Getting better,I take the bus the same amount,Single,No,No,A building with 50 or more apartments,Rent,Employed full time (working more than 30 hours per week),Health Care/Social Assistance,English
Female,72,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$150,000-$199,999",Northern Manhattan,Yes,Staying the same,NA,Getting worse,I take the bus the same amount,Married,No,No,A building with 50 or more apartments,Rent,Employed full time (working more than 30 hours per week),Arts & Entertainment,English
Male,29,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999",Staten Island,Yes,Staying the same,NA,Staying the same,NA,Married,No,No,A one family house detached from any other house,Own,Employed full time (working more than 30 hours per week),Construction,English
Female,30,Other,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$75,000 - $99,999",Northern Bronx,Yes,Staying the same,NA,Staying the same,NA,Married,No,No,A building with 2 to 9 apartments,Rent,Employed full time (working more than 30 hours per week),Technology & Telecommunications,English
Female,22,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999",Northern Manhattan,Yes,Getting worse,I use the subway the same amount,Getting worse,I take the bus less frequently,Single,No,No,A building with 10 to 49 apartments,Rent,Full time student,NA,English
Male,55,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999",Outer Queens,Yes,Getting worse,I use the subway the same amount,Getting worse,I take the bus the same amount,Married,No,No,A one family house detached from any other house,Own,Employed full time (working more than 30 hours per week),Government,NA
Male,32,White/Caucasian,"Yes, Mexican, Mexican American, Chicano","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999",Outer Queens,Yes,Getting worse,I use the subway the same amount,Getting worse,I take the bus the same amount,Married,No,No,A one family house detached from any other house,Own,Employed full time (working more than 30 hours per week),Retail,English
Male,34,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$75,000 - $99,999",Northern Bronx,Yes,Getting better,I use the subway more frequently,Getting better,I take the bus more frequently,Married,Yes,Yes,A one family house detached from any other house,Own,Employed full time (working more than 30 hours per week),Real estate,English
Female,52,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$100,000 - $149,999",Middle Queens,Yes,Staying the same,NA,Staying the same,NA,Married,No,No,A building with 2 to 9 apartments,Rent,Employed part time (working less than 30 hours per week),Retail,English
Female,60,White/Caucasian,"Yes, Puerto Rican",Some college but degree not received or in progress,"Less than $14,999",Manhattan Core,No,NA,NA,Staying the same,NA,Divorced,No,No,A building with 50 or more apartments,Rent,Unemployed,NA,NA
Female,46,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$75,000 - $99,999",Staten Island,Yes,Getting better,I use the subway the same amount,Staying the same,NA,Married,No,No,A one family house detached from any other house,Own,Unemployed,NA,NA
Female,19,Two or more races,"Yes, Other","High school graduate or equivalent (i.e., GED)","Less than $14,999",Northern Manhattan,Yes,Staying the same,NA,Staying the same,NA,Single,Yes,No,A building with 2 to 9 apartments,Rent,Full time student,NA,English
Female,27,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999",Northern Manhattan,Yes,Getting worse,I use the subway the same amount,NA,NA,Living in a committed partnership,No,No,A building with 10 to 49 apartments,Rent,Employed full time (working more than 30 hours per week),Retail,English
Male,68,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999",Staten Island,Yes,Getting worse,I use the subway less frequently,Staying the same,NA,Widowed,No,No,A one family house detached from any other house,Own,Retired,NA,English
Female,77,Other,"Yes, Other","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above",Manhattan Core,Yes,NA,NA,Staying the same,NA,NA,No,No,NA,NA,Unemployed,NA,Spanish
Male,34,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999",Northern Bronx,Yes,Getting better,I use the subway less frequently,NA,NA,Married,No,No,A one family house detached from any other house,Own,Employed full time (working more than 30 hours per week),"Professional & Business Services (consulting, legal, marketing)",English
Male,33,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999",Northern Bronx,Yes,Staying the same,NA,Staying the same,NA,Married,No,No,A one family house detached from any other house,Own,Employed full time (working more than 30 hours per week),Technology & Telecommunications,NA
Male,67,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$75,000 - $99,999",Inner Brooklyn,Yes,Staying the same,NA,Staying the same,NA,Married,No,No,A building with 50 or more apartments,Rent,Retired,NA,English
Female,61,Black/ African American/ Caribbean American,"Yes, Puerto Rican","Bachelor's degree (i.e., BA, BS, AB)","$15,000 - $24,999",Inner Brooklyn,Yes,Staying the same,NA,Staying the same,NA,Divorced,No,No,A building with 2 to 9 apartments,Rent,Retired,NA,English
Female,66,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$75,000 - $99,999",Staten Island,Yes,Getting worse,I use the subway less frequently,Staying the same,NA,Married,No,No,A one family house detached from any other house,Own,Retired,NA,English
Female,28,White/Caucasian,"Yes, Mexican, Mexican American, Chicano","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999",Outer Queens,Yes,Getting worse,I use the subway the same amount,Staying the same,NA,Single,No,No,A building with 50 or more apartments,Own,Employed full time (working more than 30 hours per week),Media,English
Male,64,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$15,000 - $24,999",Staten Island,No,Getting worse,I use the subway less frequently,Getting worse,I take the bus less frequently,Single,No,No,A building with 50 or more apartments,Rent,Retired,NA,NA
Male,55,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$35,000 - $49,999",Middle Queens,Yes,Getting worse,I use the subway less frequently,Getting worse,I take the bus less frequently,Married,No,No,A building with 50 or more apartments,Rent,Employed part time (working less than 30 hours per week),Other,NA
Female,64,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$15,000 - $24,999",Middle Queens,Yes,Staying the same,NA,Getting worse,I take the bus less frequently,Widowed,No,No,A building with 10 to 49 apartments,Rent,Unemployed,NA,English
Male,56,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$150,000-$199,999",Staten Island,Yes,Getting worse,I use the subway the same amount,Staying the same,NA,Married,No,Yes,A one family house detached from any other house,Own,Employed full time (working more than 30 hours per week),Technology & Telecommunications,English
Female,42,Asian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$75,000 - $99,999",Northern Manhattan,Yes,Getting worse,I use the subway less frequently,Staying the same,NA,Single,No,No,A one family house detached from any other house,Own,Employed full time (working more than 30 hours per week),"Professional & Business Services (consulting, legal, marketing)",NA
Female,21,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$25,000 - $34,999",Northern Manhattan,Yes,Getting worse,I use the subway the same amount,Getting worse,I take the bus the same amount,Single,No,No,A one family house detached from any other house,Rent,Employed full time (working more than 30 hours per week),Other,NA
Female,34,Asian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999",Outer Queens,Yes,Getting better,I use the subway less frequently,Getting better,I take the bus less frequently,Single,No,No,A building with 50 or more apartments,Own,Employed full time (working more than 30 hours per week),Financial services,NA
Male,23,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999",Staten Island,Yes,Getting worse,I use the subway less frequently,Staying the same,NA,Single,No,No,A one family house detached from any other house,Own,Employed full time (working more than 30 hours per week),"Professional & Business Services (consulting, legal, marketing)",English
Female,32,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$200,000 and above",Outer Queens,Yes,NA,NA,NA,NA,Single,No,No,A one family house detached from any other house,Rent,Employed full time (working more than 30 hours per week),Financial services,English
