UniqueID,What is your gender?,What is your age?,What is your race?,Are you hispanic?,What is your level of education?,What is your income?,What area of New York are you from?,What is your zip code?,What is your borough?,Do you have a drivers license?,Do you have access to a car?,Reason for car,What type of car do you have?,Where do you park your car?,Do you pay to park?,Do you have a smartphone?,Do you own a bike?,How many bikes do you own?,qBIKETYPE1,Where do your packages get delivered?,"If you get parcels at a postal store, how far away are they?",Opinion of the subway,Has this affected how often you use the subway?,Opinion on the bus service,Has this affected how often you use the bus,Relationship status,Do you get state welfare?,Are you disabled?,What type of building do you live in?,Do you rent or own your house?,How many children do you have?,Do you accompany your children to school?,Employment Status,What type of industry do you work in?,How many fulltime jobs do you have?,How many part time jobs do you have?,How many jobs do you have?,Where do you work?,Can you work from home?,Which borough do you work in?,What time do you go to work?,What time do you finish work?,What is your preferred language?
100463,Female,34,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999",Outer Queens,11422,Queens,Yes,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",3,Gasoline,In a single family home garage or driveway,NA,Yes,Yes,2,Yes,My doorstep,NA,Getting worse,I use the subway the same amount,Staying the same,NA,Single,No,No,A one family house detached from any other house,Own,None,NA,Employed full time (working more than 30 hours per week),Non-profit,1,1,2 jobs,At an office,"No, do not work from home",Manhattan,9am,7pm,NA
100282,Male,57,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$100,000 - $149,999",Outer Queens,11691,Queens,Yes,I personally own or lease a car,1,Gasoline,In a single family home garage or driveway,NA,Yes,Yes,2,Yes,My doorstep,NA,Staying the same,NA,Staying the same,NA,Married,No,No,A one family house detached from any other house,Own,None,NA,Employed full time (working more than 30 hours per week),Construction,1,0,1 job,Varying job sites,"No, do not work from home",Queens,8,5:00 PM,NA
105431,Male,42,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$200,000 and above",Middle Queens,11375,Queens,Yes,I do not have access to a car,NA,NA,NA,NA,Yes,No,NA,NA,My doorman,NA,Staying the same,NA,NA,NA,Single,No,No,A building with 50 or more apartments,Own,None,NA,Other,NA,NA,NA,NA,NA,NA,NA,,,English
104736,Male,63,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above",Middle Queens,11374,Queens,Yes,I personally own or lease a car,1,Gasoline,In a garage or lot in your apartment building,Yes,Yes,No,NA,NA,My doorman,NA,Getting worse,I use the subway less frequently,Getting worse,I take the bus the same amount,Married,No,No,A building with 50 or more apartments,Own,None,NA,Employed full time (working more than 30 hours per week),Education,1,0,1 job,At an office,"No, do not work from home",Brooklyn,7am,6:15 PM,English
102418,Female,53,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$150,000-$199,999",Inner Queens,11377,Queens,Yes,I personally own or lease a car,1,Gasoline,In a single family home garage or driveway,NA,Yes,No,NA,NA,My workplace,NA,Staying the same,NA,Getting worse,I take the bus the same amount,Married,No,No,A one family house attached to one or more houses,Own,One,Yes,Employed full time (working more than 30 hours per week),Health Care/Social Assistance,1,0,1 job,At a hospital/doctor's office/healthcare facility,"No, do not work from home",Queens,9.30 AM,8PM,English
105380,Male,69,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999",Outer Brooklyn,11209,Brooklyn,No,I do not have access to a car,NA,NA,NA,NA,No,No,NA,NA,My lobby,NA,Getting worse,I use the subway the same amount,NA,NA,Single,No,No,A building with 10 to 49 apartments,Rent,None,NA,Employed full time (working more than 30 hours per week),Other,1,0,1 job,At an office,"No, do not work from home",Manhattan,9am,7pm,English
103911,Female,33,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"Less than $14,999",Northern Bronx,10462,The Bronx,No,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",NA,NA,NA,NA,Yes,No,NA,NA,My doorstep,NA,Staying the same,NA,Staying the same,NA,Single,Yes,No,A building with 10 to 49 apartments,NA,None,NA,Unemployed,NA,NA,NA,NA,NA,NA,NA,,,English
105450,Male,54,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$75,000 - $99,999",Outer Brooklyn,11210,Brooklyn,Yes,I personally own or lease a car,1,Gasoline,In a single family home garage or driveway,NA,No,No,NA,NA,My doorstep,NA,Getting worse,I use the subway less frequently,NA,NA,Single,No,No,A one family house detached from any other house,Own,None,NA,Unemployed,NA,NA,NA,NA,NA,NA,NA,,,English
100652,Female,76,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above",Staten Island,10304,Staten Island,Yes,I personally own or lease a car,4 or more,Gasoline,In a single family home garage or driveway,NA,Yes,Yes,2,Yes,My doorstep,NA,NA,NA,Staying the same,NA,Widowed,No,Yes,A one family house detached from any other house,Own,Two,Yes,Retired,NA,NA,NA,NA,NA,NA,NA,,,NA
104711,Female,31,Other,"Yes, Puerto Rican","Associate degree (i.e., AA, AS)","Less than $14,999",Northern Bronx,10453,The Bronx,No,I do not have access to a car,NA,NA,NA,NA,Yes,Yes,1,Yes,A postal store,3-5 blocks,Getting worse,I use the subway less frequently,Getting better,I take the bus more frequently,Single,No,No,A building with 10 to 49 apartments,Rent,One,Yes,Unemployed,NA,NA,NA,NA,NA,NA,NA,,,English
100183,Male,81,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999",Outer Queens,11414,Queens,Yes,I personally own or lease a car,1,Gasoline,In a garage or lot in your apartment building,Yes,No,No,NA,NA,My doorstep,NA,Getting worse,I use the subway the same amount,Staying the same,NA,Married,No,No,A building with 10 to 49 apartments,Own,None,NA,Retired,NA,NA,NA,NA,NA,NA,NA,,,NA
100948,Male,67,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999",Staten Island,10306,Staten Island,Yes,I personally own or lease a car,2,Gasoline,On the street,NA,Yes,No,NA,NA,My doorstep,NA,Staying the same,NA,Staying the same,NA,Married,No,No,A one family house attached to one or more houses,Own,None,NA,Retired,NA,NA,NA,NA,NA,NA,NA,,,English
102001,Female,70,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999",Inner Queens,11106,Queens,No,I do not have access to a car,NA,NA,NA,NA,Yes,No,NA,NA,My lobby,NA,Staying the same,NA,Staying the same,NA,Single,No,No,A building with 10 to 49 apartments,Own,None,NA,Retired,NA,NA,NA,NA,NA,NA,NA,,,English
100178,Male,29,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$100,000 - $149,999",Outer Queens,11413,Queens,Yes,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",2,Gasoline,In a shared driveway,NA,Yes,No,NA,NA,My doorstep,NA,Staying the same,NA,Staying the same,NA,Single,No,No,A one family house detached from any other house,Own,None,NA,Employed part time (working less than 30 hours per week),Retail,NA,1,1 job,From home,"Yes, work from home",NA,,,NA
100161,Male,51,Asian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999",Outer Queens,11358,Queens,Yes,I personally own or lease a car,1,Gasoline,In a single family home garage or driveway,NA,Yes,Yes,2,Yes,My workplace,NA,Staying the same,NA,Staying the same,NA,Married,No,No,A one family house detached from any other house,Own,One,NA,Employed full time (working more than 30 hours per week),Non-profit,2,0,2 jobs,At an office,"No, do not work from home",Queens,930 am,530 pm,NA
105467,Male,67,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$35,000 - $49,999",Outer Brooklyn,11234,Brooklyn,No,Other,NA,NA,NA,NA,Yes,No,NA,NA,My doorstep,NA,NA,NA,Getting better,I take the bus more frequently,Living in a committed partnership,No,No,A one family house attached to one or more houses,Own,None,NA,Retired,NA,NA,NA,NA,NA,NA,NA,,,English
100191,Female,38,Asian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999",Middle Queens,11355,Queens,Yes,I do not have access to a car,NA,NA,NA,NA,Yes,No,NA,NA,My doorstep,NA,Getting worse,I use the subway less frequently,Getting worse,I take the bus less frequently,Single,No,No,A building with 50 or more apartments,Own,None,NA,Employed full time (working more than 30 hours per week),Financial services,1,0,1 job,At an office,"No, do not work from home",Manhattan,9am,7pm,NA
100599,Female,37,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above",Manhattan Core,10065,Manhattan,Yes,I personally own or lease a car,1,Gasoline,In a garage or lot in your apartment building,Yes,Yes,No,NA,NA,My doorman,NA,Staying the same,NA,Staying the same,NA,Married,No,No,A building with 50 or more apartments,Rent,Two,Yes,Stay-at-home parent,NA,NA,NA,NA,NA,NA,NA,,,NA
101812,Male,61,White/Caucasian,"Yes, Other","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999",Middle Queens,11418,Queens,Yes,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",1,Gasoline,On the street,NA,Yes,No,NA,NA,My doorstep,NA,Getting worse,I use the subway the same amount,Getting better,I take the bus the same amount,Married,No,No,A one family house attached to one or more houses,Own,None,NA,Employed full time (working more than 30 hours per week),Financial services,1,3 or more,3 or more jobs,At an office,"No, do not work from home",Brooklyn,6:00 AM,6 30 PM,English
101754,Male,31,Other,"Yes, Mexican, Mexican American, Chicano",Some high school,"$50,000 - $74,999",Northern Bronx,10461,The Bronx,No,I do not have access to a car,NA,NA,NA,NA,Yes,Yes,1,Yes,"An alternative access point (i.e. Amazon locker, UPS, Access Point)",6-10 blocks,Getting better,I use the subway the same amount,Staying the same,NA,Single,No,No,A building with 10 to 49 apartments,Rent,None,NA,Employed part time (working less than 30 hours per week),Other,NA,1,1 job,In a remote location that is not at home (i.e. a coworking space or coffee shop),"No, do not work from home",The Bronx,AM,PM,English
100511,Female,53,Asian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$15,000 - $24,999",Inner Queens,11377,Queens,Yes,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",NA,NA,NA,NA,Yes,No,NA,NA,My doorstep,NA,Getting worse,I use the subway the same amount,NA,NA,Single,No,No,A building with 2 to 9 apartments,Rent,None,NA,Employed part time (working less than 30 hours per week),Manufacturing,NA,1,1 job,At an office,"No, do not work from home",Manhattan,am,pm,NA
102127,Female,38,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999",Middle Queens,11418,Queens,Yes,I personally own or lease a car,1,Gasoline,On the street,NA,Yes,Yes,2,Yes,My doorstep,NA,Getting worse,I use the subway less frequently,Getting better,I take the bus the same amount,Married,No,No,A building with 50 or more apartments,Own,None,NA,Employed part time (working less than 30 hours per week),"Professional & Business Services (consulting, legal, marketing)",NA,1,1 job,From home,"Yes, work from home",NA,,,English
100079,Male,61,White/Caucasian,"Yes, Mexican, Mexican American, Chicano","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999",Staten Island,10302,Staten Island,Yes,I personally own or lease a car,2,Gasoline,In a single family home garage or driveway,NA,Yes,Yes,3,Yes,My doorstep,NA,Getting worse,I use the subway more frequently,Getting worse,I take the bus less frequently,Married,No,No,A one family house detached from any other house,Own,One,No,Employed full time (working more than 30 hours per week),Real estate,1,0,1 job,At an office,"No, do not work from home",Brooklyn,8:00 a.m.,6:30 p.m.,NA
100498,Male,41,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999",Inner Queens,11106,Queens,Yes,I personally own or lease a car,1,Gasoline,In a shared driveway,NA,Yes,No,NA,NA,My doorstep,NA,Getting worse,I use the subway the same amount,Getting worse,I take the bus the same amount,Married,No,No,A one family house attached to one or more houses,Rent,Three,Yes,Employed full time (working more than 30 hours per week),Media,1,0,1 job,At an office,"No, do not work from home",Manhattan,am,pm,NA
100309,Female,61,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999",Outer Brooklyn,11234,Brooklyn,Yes,I personally own or lease a car,2,Gasoline,In a shared driveway,NA,Yes,No,NA,NA,An alternative address (i.e. a family member or friend's),10-20 blocks,Getting worse,I use the subway the same amount,Getting worse,I take the bus the same amount,Married,No,No,A one family house attached to one or more houses,Own,None,NA,Employed part time (working less than 30 hours per week),Education,NA,1,1 job,At a school or day care facility,"No, do not work from home",Brooklyn,07:30,5:30PM,NA
100058,Male,54,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999",Northern Bronx,10469,The Bronx,Yes,I personally own or lease a car,2,Gasoline,On the street,NA,Yes,No,NA,NA,A postal store,6-10 blocks,Staying the same,NA,Staying the same,NA,Married,No,No,A building with 10 to 49 apartments,Rent,None,NA,Retired,NA,NA,NA,NA,NA,NA,NA,,,NA
100654,Female,68,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$75,000 - $99,999",Staten Island,10306,Staten Island,Yes,I personally own or lease a car,2,Gasoline,In a single family home garage or driveway,NA,Yes,No,NA,NA,My doorstep,NA,Staying the same,NA,Staying the same,NA,Married,No,No,A one family house attached to one or more houses,Own,None,NA,Retired,NA,NA,NA,NA,NA,NA,NA,,,NA
104394,Male,37,Other,"Yes, Other","Graduate degree (i.e., Master's, Professional, Doctorate)","$75,000 - $99,999",Outer Queens,11691,Queens,Yes,I personally own or lease a car,1,Gasoline,In a garage or lot in your apartment building,Yes,Yes,No,NA,NA,My doorstep,NA,Staying the same,NA,Staying the same,NA,Single,No,No,A building with 10 to 49 apartments,Rent,None,NA,Employed full time (working more than 30 hours per week),Financial services,1,0,1 job,At an office,"No, do not work from home",Brooklyn,6am,7pm,Espa�ol
100605,Female,67,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999",Northern Bronx,10471,The Bronx,Yes,I personally own or lease a car,1,Gasoline,In a shared driveway,NA,Yes,Yes,1,Yes,My doorstep,NA,Getting worse,I use the subway the same amount,Getting worse,I take the bus the same amount,Married,No,No,A building with 50 or more apartments,Own,None,NA,Retired,NA,NA,NA,NA,NA,NA,NA,,,NA
101983,Female,37,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$50,000 - $74,999",Northern Bronx,10467,The Bronx,Yes,I do not have access to a car,NA,NA,NA,NA,Yes,No,NA,NA,My workplace,NA,Getting worse,I use the subway the same amount,Staying the same,NA,Single,No,No,A building with 10 to 49 apartments,Rent,None,NA,Employed full time (working more than 30 hours per week),Non-profit,1,0,1 job,At an office,"No, do not work from home",Manhattan,9:30am,6:30pm,English
100572,Male,50,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999",Northern Manhattan,10027,Manhattan,Yes,NA,NA,NA,NA,NA,Yes,No,NA,NA,NA,NA,Staying the same,NA,Staying the same,NA,Living in a committed partnership,No,No,A building with 10 to 49 apartments,Own,None,NA,Employed part time (working less than 30 hours per week),Other,NA,1,1 job,NA,NA,NA,,,NA
100090,Female,59,Asian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$25,000 - $34,999",Manhattan Core,10024,Manhattan,Yes,I do not have access to a car,NA,NA,NA,NA,No,Yes,1,No,My doorman,NA,Staying the same,NA,Staying the same,NA,Single,No,No,A building with 50 or more apartments,Rent,None,NA,Unemployed,NA,NA,NA,NA,NA,NA,NA,,,NA
103864,Male,34,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999",Inner Queens,11369,Queens,Yes,I personally own or lease a car,1,Gasoline,On the street,NA,Yes,No,NA,NA,My doorman,NA,Getting better,I use the subway more frequently,Getting better,I take the bus less frequently,Single,No,No,A one family house detached from any other house,Own,One,NA,Employed full time (working more than 30 hours per week),Manufacturing,1,0,1 job,At an office,"No, do not work from home",Queens,7am,5pm,English
103967,Male,57,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999",Northern Manhattan,10032,Manhattan,Yes,I do not have access to a car,NA,NA,NA,NA,Yes,Yes,2,Yes,My lobby,NA,Staying the same,NA,Staying the same,NA,Married,No,Yes,A building with 10 to 49 apartments,Rent,None,NA,Unemployed,NA,NA,NA,NA,NA,NA,NA,,,English
100436,Female,70,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999",Northern Bronx,10473,The Bronx,Yes,I personally own or lease a car,1,Gasoline,On the street,NA,Yes,Yes,1,Yes,My lobby,NA,NA,NA,NA,NA,Widowed,No,No,A building with 10 to 49 apartments,Rent,None,NA,Employed full time (working more than 30 hours per week),Other,1,0,1 job,From home,"Yes, work from home",NA,,,NA
102383,Male,69,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999",Staten Island,10312,Staten Island,Yes,I personally own or lease a car,1,Gasoline,In a single family home garage or driveway,NA,Yes,Yes,2,No,My doorstep,NA,NA,NA,Getting better,I take the bus more frequently,Married,No,No,A one family house attached to one or more houses,Own,None,NA,Retired,NA,NA,NA,NA,NA,NA,NA,,,English
101226,Female,52,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$150,000-$199,999",Staten Island,10314,Staten Island,Yes,I personally own or lease a car,1,Gasoline,In a single family home garage or driveway,NA,Yes,No,NA,NA,My doorstep,NA,Getting worse,I use the subway the same amount,Staying the same,NA,Married,No,No,A one family house attached to one or more houses,Own,None,NA,Employed full time (working more than 30 hours per week),Technology & Telecommunications,1,0,1 job,At an office,"No, do not work from home",Manhattan,730am,430pm,English
101717,Female,61,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999",Inner Brooklyn,11218,Brooklyn,Yes,I personally own or lease a car,1,Gasoline,On the street,NA,Yes,Yes,1,Yes,My doorstep,NA,Getting worse,I use the subway the same amount,Getting better,I take the bus the same amount,Married,No,No,A building with 2 to 9 apartments,Own,None,NA,Employed full time (working more than 30 hours per week),"Professional & Business Services (consulting, legal, marketing)",1,0,1 job,At an office,"No, do not work from home",Brooklyn,9a.m.,5:30PM,English
102110,Female,38,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$150,000-$199,999",Inner Queens,11370,Queens,Yes,I do not have access to a car,NA,NA,NA,NA,Yes,No,NA,NA,My doorstep,NA,Staying the same,NA,Staying the same,NA,Married,No,No,A building with 2 to 9 apartments,Rent,None,NA,Employed full time (working more than 30 hours per week),Education,1,0,1 job,At an office,"No, do not work from home",Manhattan,7.30 am,6.30 pm,English
100429,Male,58,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999",Inner Queens,11373,Queens,Yes,I personally own or lease a car,1,Gasoline,In another parking garage or lot,Yes,Yes,No,NA,NA,My workplace,NA,Staying the same,NA,NA,NA,Married,No,No,A building with 50 or more apartments,Own,None,NA,Employed full time (working more than 30 hours per week),Education,1,1,2 jobs,Varying job sites,"No, do not work from home",Queens,Varies greatly,varies greatly,NA
100036,Female,69,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$150,000-$199,999",Manhattan Core,10016,Manhattan,Yes,I do not have access to a car,NA,NA,NA,NA,Yes,No,NA,NA,My doorman,NA,Staying the same,NA,NA,NA,Single,No,No,A building with 50 or more apartments,Own,None,NA,Employed full time (working more than 30 hours per week),Technology & Telecommunications,1,0,1 job,From home,"Yes, work from home",NA,,,NA
100084,Female,62,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","Less than $14,999",Manhattan Core,10305,Staten Island,Yes,I personally own or lease a car,1,Gasoline,On the street,NA,Yes,No,NA,NA,My doorstep,NA,Staying the same,NA,Staying the same,NA,Married,Yes,No,A building with 10 to 49 apartments,Rent,None,NA,Retired,NA,NA,NA,NA,NA,NA,NA,,,NA
100727,Female,59,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above",Middle Queens,11375,Queens,Yes,I personally own or lease a car,1,Gasoline,In a single family home garage or driveway,NA,Yes,Yes,2,Yes,My doorstep,NA,Staying the same,NA,Staying the same,NA,Married,No,No,A one family house detached from any other house,Own,None,NA,Employed full time (working more than 30 hours per week),Financial services,1,0,1 job,At an office,"No, do not work from home",Manhattan,none,none,English
104941,Male,41,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999",Staten Island,10312,Staten Island,Yes,I personally own or lease a car,2,Gasoline,On the street,NA,Yes,Yes,3,Yes,My doorstep,NA,Staying the same,NA,Staying the same,NA,Married,No,No,A one family house attached to one or more houses,Own,Two,Yes,Employed full time (working more than 30 hours per week),Other,1,0,1 job,At an office,"No, do not work from home",Brooklyn,It varies,It varies,English
101248,Male,45,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$150,000-$199,999",Northern Bronx,10475,The Bronx,Yes,I personally own or lease a car,2,Gasoline,On the street,NA,Yes,Yes,2,Yes,A postal store,10-20 blocks,Getting better,I use the subway the same amount,Getting better,I take the bus more frequently,Married,No,No,A building with 2 to 9 apartments,Own,Two,Yes,Employed full time (working more than 30 hours per week),Education,1,0,1 job,At an office,"No, do not work from home",Queens,6am,4:30pm,English
103651,Male,40,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999",Southern Bronx,10468,The Bronx,No,I do not have access to a car,NA,NA,NA,NA,Yes,No,NA,NA,A postal store,1-2 blocks,Staying the same,NA,Staying the same,NA,Single,No,No,A building with 50 or more apartments,NA,None,NA,Employed full time (working more than 30 hours per week),Financial services,1,0,1 job,At an office,"No, do not work from home",Manhattan,am,pm,English
100911,Male,61,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$50,000 - $74,999",Staten Island,10309,Staten Island,Yes,I personally own or lease a car,1,Gasoline,In a single family home garage or driveway,NA,Yes,No,NA,NA,My doorstep,NA,Staying the same,NA,Staying the same,NA,Divorced,No,No,A one family house detached from any other house,Own,None,NA,Retired,NA,NA,NA,NA,NA,NA,NA,,,English
104958,Female,32,Asian,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$35,000 - $49,999",Middle Queens,11355,Queens,Yes,I do not have access to a car,NA,NA,NA,NA,Yes,No,NA,NA,My doorstep,NA,Getting worse,I use the subway the same amount,Getting better,I take the bus the same amount,Single,No,No,A one family house detached from any other house,Rent,None,NA,Employed full time (working more than 30 hours per week),Financial services,2,0,2 jobs,At an office,"No, do not work from home",Manhattan,8:30 AM,5:00 PM,English
100257,Female,53,White/Caucasian,"Yes, Puerto Rican","Bachelor's degree (i.e., BA, BS, AB)","$150,000-$199,999",Manhattan Core,10009,Manhattan,Yes,I personally own or lease a car,1,Gasoline,In a garage or lot in your apartment building,Yes,Yes,No,NA,NA,My doorstep,NA,Getting worse,I use the subway less frequently,Getting worse,I take the bus less frequently,Married,No,No,A building with 10 to 49 apartments,Rent,Two,No,Employed full time (working more than 30 hours per week),Technology & Telecommunications,1,0,1 job,At an office,"No, do not work from home",Manhattan,9,6,NA
100208,Female,63,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above",Manhattan Core,10024,Manhattan,Yes,I personally own or lease a car,1,Gasoline,Other,NA,Yes,No,NA,NA,My doorman,NA,Getting worse,I use the subway the same amount,Staying the same,NA,Single,No,No,A building with 50 or more apartments,Own,None,NA,Retired,NA,NA,NA,NA,NA,NA,NA,,,NA
101815,Male,21,Asian,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","Less than $14,999",Outer Queens,11420,Queens,Yes,I do not have access to a car,NA,NA,NA,NA,Yes,No,NA,NA,My doorstep,NA,Staying the same,NA,Staying the same,NA,Single,No,No,A building with 2 to 9 apartments,Rent,None,NA,Full time student,NA,NA,NA,NA,NA,NA,NA,,,English
100189,Male,64,Asian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","Less than $14,999",Middle Queens,11355,Queens,Yes,I do not have access to a car,NA,NA,NA,NA,No,No,NA,NA,My doorstep,NA,Getting worse,I use the subway more frequently,Getting worse,I take the bus the same amount,Divorced,No,No,A one family house detached from any other house,Rent,None,NA,Employed part time (working less than 30 hours per week),Media,NA,1,1 job,Varying job sites,"No, do not work from home",Queens,5,10:00 AM,NA
100659,Male,62,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$150,000-$199,999",Outer Queens,11362,Queens,Yes,I personally own or lease a car,1,Gasoline,In a garage or lot in your apartment building,Yes,Yes,No,NA,NA,My lobby,NA,Staying the same,NA,Staying the same,NA,Living in a committed partnership,No,No,A building with 10 to 49 apartments,Rent,None,NA,Employed full time (working more than 30 hours per week),Financial services,1,0,1 job,From home,"Yes, work from home",NA,,,NA
100687,Male,33,Asian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999",Inner Queens,11104,Queens,No,I do not have access to a car,NA,NA,NA,NA,Yes,Yes,1,Yes,"An alternative access point (i.e. Amazon locker, UPS, Access Point)",1-2 blocks,Getting better,I use the subway less frequently,Staying the same,NA,Single,No,No,A one family house detached from any other house,Rent,None,NA,Employed full time (working more than 30 hours per week),"Professional & Business Services (consulting, legal, marketing)",2,0,2 jobs,In a remote location that is not at home (i.e. a coworking space or coffee shop),"No, do not work from home",Queens,8:00 AM,700pm,NA
100838,Female,45,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999",Outer Queens,11694,Queens,Yes,I personally own or lease a car,1,Gasoline,In a garage or lot in your apartment building,No,Yes,No,NA,NA,My doorman,NA,Getting worse,I use the subway the same amount,Staying the same,NA,Divorced,No,No,A building with 50 or more apartments,Own,None,NA,Employed full time (working more than 30 hours per week),Health Care/Social Assistance,1,0,1 job,At a hospital/doctor's office/healthcare facility,"No, do not work from home",Manhattan,7am,7pm,English
